Training Loss,Epoch,Step,Validation Loss,Wer
0.4992,0.2075,100,0.4841,93.0091
0.4325,0.4149,200,0.4223,82.7761
0.4028,0.6224,300,0.3979,81.6616
0.3866,0.8299,400,0.3846,79.8886
0.3322,1.0373,500,0.3731,80.3951
0.3108,1.2448,600,0.3672,79.23
0.3139,1.4523,700,0.3601,79.1287
0.324,1.6598,800,0.3558,78.7741
0.2629,1.8672,900,0.3525,78.1155
0.2421,2.0747,1000,0.3521,78.5208
0.217,2.2822,1100,0.3495,78.3688
0.2071,2.4896,1200,0.349,78.5714
0.2183,2.6971,1300,0.3452,78.6727
0.2158,2.9046,1400,0.3426,78.6221
